age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,566374,565920,547054,537956,537418,542326,545130,552693,558196,571096,564793,561023,565982,570929,565198,568351,567324,569271,562764,557192,544309,536684,514405.0,507021.0,492439.0,480331.0,466622.0,446724.0,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284,174584.56299688373,171844.38632266273,169178.68869619834,166587.95643200932,164067.77420871513
11,571769,568684,569499,551622,542931,541177,547924,551007,557461,561199,574185,566859,561945,566055,570683,564759,568083,567812,569337,566257,560013,545883,536684.0,514405.0,507021.0,492439.0,480331.0,466622.0,446724.0,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284,174584.56299688373,171844.38632266273,169178.68869619834,166587.95643200932
12,562281,573863,571180,573595,556540,547135,546663,553371,555780,561491,563954,576443,567704,562246,566021,570232,564478,568576,568025,573063,568876,561463,545883.0,536684.0,514405.0,507021.0,492439.0,480331.0,466622.0,446724.0,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284,174584.56299688373,171844.38632266273,169178.68869619834
13,565951,564359,576103,574651,578284,560460,553021,551938,557633,559950,564733,566121,577668,567956,562296,565648,570184,565035,569063,572003,575758,570248,561463.0,545883.0,536684.0,514405.0,507021.0,492439.0,480331.0,466622.0,446724.0,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284,174584.56299688373,171844.38632266273
14,544761,568358,566610,578992,578169,582015,566019,558684,556355,561392,563250,566488,567354,578507,568077,562006,565934,571168,565871,573180,574688,577610,570248.0,561463.0,545883.0,536684.0,514405.0,507021.0,492439.0,480331.0,466622.0,446724.0,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284,174584.56299688373
15,559012,547025,570882,569709,582731,581012,587212,571616,563539,560238,564605,565211,567577,568252,579057,567907,562182,566861,572210,570115,575894,576554,577610.0,570248.0,561463.0,545883.0,536684.0,514405.0,507021.0,492439.0,480331.0,466622.0,446724.0,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976,177386.94269670284
16,578356,559983,549909,574567,573866,585817,585422,592699,576646,567923,563391,566829,566463,568447,569082,579513,568641,563617,568006,574780,572808,578184,576554.0,577610.0,570248.0,561463.0,545883.0,536684.0,514405.0,507021.0,492439.0,480331.0,466622.0,446724.0,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536,180244.3872057976
17,586101,579525,561513,554212,579441,577712,590672,590575,597942,581230,571802,566265,568311,567946,569765,570420,581989,570790,565389,569673,580417,575678,578184.0,576554.0,577610.0,570248.0,561463.0,545883.0,536684.0,514405.0,507021.0,492439.0,480331.0,466622.0,446724.0,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953,183154.7230068536
18,601777,588055,582069,566152,560832,585235,584895,598015,597142,604124,586324,575809,568901,570728,570722,575369,579330,586873,574707,566163,569708,583849,575678.0,578184.0,576554.0,577610.0,570248.0,561463.0,545883.0,536684.0,514405.0,507021.0,492439.0,480331.0,466622.0,446724.0,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264,186106.40433347953
19,626198,602618,591807,585495,569759,566346,594830,594316,605884,603863,610128,591398,579167,572067,574614,577538,587285,585535,590744,576282,567290,573950,583849.0,575678.0,578184.0,576554.0,577610.0,570248.0,561463.0,545883.0,536684.0,514405.0,507021.0,492439.0,480331.0,466622.0,446724.0,427219.0,409723.0,402454.0,395348.0,381635.159,379588.32578101545,378088.71680770826,376926.90242486773,375849.769290365,375127.6204128846,374449.8680596492,373679.9215385068,373137.1704683458,372099.1787740523,370539.6924605463,366849.15480341157,362819.36736270133,358761.9926842651,354177.62852480833,349737.79219485406,345129.99109007255,340493.2111789364,335618.61951320834,330450.7037103945,325192.1202970614,320028.17309680104,314728.56469355075,309724.06324323727,304914.7927955577,300044.2993741377,294913.3397899172,289968.6123443343,284937.36371169885,279907.8365638706,274762.42989150906,269698.37413952505,264749.7361960591,260069.5400400989,255505.5316536452,251372.93881128498,247307.4151845683,243478.8832228257,239819.7829005399,236366.98669441338,233273.9000610778,230527.6165383353,228086.29402448144,225705.02208045186,223378.32664210483,221261.14483451302,219073.21533051948,216799.0661956902,214430.49271439752,211962.59849927903,209388.7032070534,206710.54071475856,203936.91540277906,201065.11718678012,198117.76897295922,195109.2396555014,192097.3414161975,189094.49294119264
